order_item_id,order_id,product_id,quantity,unit_price,cost_price
1,1,43,3,33.26,21.22
2,1,44,2,85.42,63.28
3,1,179,1,19.05,15.16
4,2,105,1,189.19,129.08
5,2,96,1,80.75,56.52
6,2,99,3,130.57,86.57
7,2,122,1,105.33,83.6
8,3,163,1,103.37,73.71
9,3,141,2,30.48,21.26
10,3,39,1,67.99,50.98
11,4,27,1,139.28,105.43
12,5,33,2,88.88,54.09
13,6,156,3,122.76,93.79
14,7,114,3,125.96,86.45
15,8,52,2,102.13,63.08
16,8,22,3,152.64,110.28
17,8,167,1,165.29,106.43
18,9,86,2,177.75,123.9
19,9,140,2,190.01,129.26
20,9,21,3,77.84,61.53
21,10,111,3,54.2,39.46
22,10,51,2,147.24,106.79
23,11,164,2,64.53,47.14
24,11,8,2,176.79,115.23
25,11,196,2,104.31,66.61
26,11,77,1,16.85,13.43
27,12,130,1,50.34,34.4
28,13,95,1,15.68,11.96
29,14,45,2,80.76,67.54
30,14,192,2,96.05,73.19
31,14,114,2,131.61,86.45
32,14,99,3,128.9,86.57
33,15,106,2,31.73,22.48
34,16,196,1,105.06,66.61
35,16,43,3,34.65,21.22
36,17,92,1,95.97,77.95
37,17,104,3,180.86,143.36
38,17,53,3,124.06,81.81
39,17,180,1,107.6,63.91
40,18,169,1,58.58,47.45
41,19,51,1,156.35,106.79
42,19,112,2,190.54,122.82
43,19,71,1,99.1,82.25
44,19,72,1,148.99,101.18
45,20,70,3,149.94,120.36
46,20,85,3,89.74,70.95
47,20,38,2,118.07,93.56
48,20,33,1,87.75,54.09
49,21,62,1,176.12,146.41
50,21,29,2,119.98,71.2
51,21,134,3,49.43,41.21
52,22,47,3,19.83,15.34
53,23,192,3,91.21,73.19
54,23,62,3,186.36,146.41
55,24,141,1,31.57,21.26
56,25,69,2,119.96,71.32
57,25,177,2,171.62,103.96
58,26,119,2,117.76,88.33
59,26,97,1,168.61,116.93
60,26,114,3,134.1,86.45
61,26,35,1,207.03,134.5
62,27,93,2,146.26,114.94
63,28,12,2,174.14,109.39
64,28,10,2,59.45,36.99
65,29,178,3,101.16,68.08
66,29,60,3,197.12,126.61
67,29,197,2,199.64,140.68
68,29,50,1,50.23,35.74
69,30,104,3,174.51,143.36
70,30,172,2,29.98,19.24
71,31,5,3,163.31,100.15
72,31,8,2,188.09,115.23
73,31,25,1,132.54,83.31
74,31,109,3,133.61,106.32
75,32,90,3,173.56,108.48
76,33,174,3,15.48,12.75
77,33,38,1,112.7,93.56
78,33,9,2,137.78,104.72
79,34,123,2,52.56,35.71
80,34,29,3,112.34,71.2
81,34,81,2,129.51,86.79
82,35,194,3,61.36,41.47
83,36,131,2,92.67,61.16
84,37,146,2,180.94,127.34
85,37,121,3,99.05,71.86
86,37,167,2,163.8,106.43
87,37,91,1,146.61,93.37
88,38,193,1,168.12,115.01
89,38,63,2,147.42,100.15
90,38,59,2,59.13,43.13
91,38,48,1,58.49,38.53
92,39,20,1,118.05,84.35
93,39,196,3,102.25,66.61
94,39,148,1,139.21,99.97
95,40,67,3,117.06,75.27
96,40,24,2,24.59,17.21
97,41,154,2,189.81,126.15
98,41,165,3,35.15,22.71
99,41,105,2,192.47,129.08
100,41,59,1,62.39,43.13
101,42,67,3,128.91,75.27
102,42,39,2,65.94,50.98
103,42,154,2,190.95,126.15
104,43,176,1,103.68,64.94
105,44,62,1,190.15,146.41
106,44,79,3,186.31,130.42
107,44,140,2,182.04,129.26
108,45,115,2,70.62,49.07
109,46,39,3,68.82,50.98
110,46,127,1,68.53,51.54
111,47,82,2,192.1,115.29
112,47,192,1,96.3,73.19
113,48,167,3,154.65,106.43
114,48,83,3,131.35,86.66
115,48,142,1,113.14,86.47
116,48,11,2,140.57,111.76
117,49,55,2,41.71,29.01
118,49,184,1,136.69,89.94
119,50,75,2,77.05,49.93
120,50,130,3,52.17,34.4
121,51,46,1,161.49,100.02
122,51,190,1,41.07,26.83
123,51,117,2,69.35,45.88
124,51,32,1,171.98,133.46
125,52,156,3,121.3,93.79
126,53,153,1,92.6,62.87
127,53,172,3,32.78,19.24
128,53,33,2,89.54,54.09
129,54,152,3,35.85,23.9
130,54,72,3,140.77,101.18
131,54,184,1,143.15,89.94
132,54,37,3,48.61,35.51
133,55,81,1,131.37,86.79
134,55,133,3,22.57,14.86
135,55,184,1,132.68,89.94
136,55,131,2,90.27,61.16
137,56,155,3,40.59,32.92
138,56,172,2,32.59,19.24
139,56,25,2,124.01,83.31
140,57,184,2,141.53,89.94
141,57,140,1,196.11,129.26
142,57,42,1,18.83,12.49
143,58,149,2,95.91,75.89
144,58,50,1,53.42,35.74
145,59,32,3,173.91,133.46
146,60,104,3,177.72,143.36
147,60,167,3,162.94,106.43
148,61,110,3,128.2,101.04
149,62,114,3,127.13,86.45
150,62,77,3,17.61,13.43
151,62,67,3,123.3,75.27
152,62,118,3,79.47,61.04
153,63,176,3,101.09,64.94
154,64,180,1,103.3,63.91
155,64,173,1,58.7,45.71
156,65,11,3,139.06,111.76
157,65,136,3,97.82,72.51
158,65,166,2,154.18,114.79
159,66,18,3,145.91,88.92
160,67,182,1,149.63,98.39
161,67,135,3,35.16,27.64
162,67,145,1,199.68,131.91
163,68,131,1,89.79,61.16
164,68,59,1,62.8,43.13
165,68,192,1,88.92,73.19
166,69,114,1,134.88,86.45
167,69,22,2,141.24,110.28
168,69,63,1,151.14,100.15
169,70,92,2,97.72,77.95
170,71,159,2,59.05,42.2
171,71,79,3,176.62,130.42
172,71,197,2,183.59,140.68
173,72,26,1,15.85,11.58
174,73,17,2,76.37,53.91
175,73,141,1,30.09,21.26
176,73,154,3,200.47,126.15
177,74,59,3,59.5,43.13
178,74,106,2,30.49,22.48
