order_id,customer_id,order_date,total_amount,discount_amount,final_amount,channel
1,2803,2023-09-26,289.67,29.71,259.96,In-Store
2,3435,2024-06-06,766.98,60.43,706.55,Online
3,3303,2023-07-06,232.32,27.77,204.55,Online
4,612,2024-10-16,139.28,15.2,124.08,In-Store
5,387,2023-08-30,177.76,11.61,166.15,In-Store
6,2967,2023-02-24,368.28,37.81,330.47,Online
7,1618,2024-01-11,377.88,49.79,328.09,Online
8,840,2023-08-18,827.47,121.3,706.17,Online
9,1442,2024-08-08,969.04,106.69,862.35,In-Store
10,995,2023-04-20,457.08,52.54,404.54,Online
11,1274,2023-03-27,708.11,49.95,658.16,Online
12,1433,2024-03-15,50.34,6.03,44.31,Online
13,513,2024-04-03,15.68,2.33,13.35,In-Store
14,3612,2023-05-14,1003.54,149.09,854.45,Online
15,707,2023-07-25,63.46,4.53,58.93,Online
16,1870,2023-04-09,209.01,25.24,183.77,Online
17,371,2023-04-10,1118.33,100.74,1017.59,In-Store
18,1824,2024-12-29,58.58,3.44,55.14,Online
19,633,2024-01-29,785.52,116.56,668.96,Online
20,746,2024-11-21,1042.93,131.39,911.54,In-Store
21,1311,2023-08-06,564.37,38.94,525.43,Online
22,2092,2023-01-31,59.49,3.56,55.93,Online
23,3385,2023-10-04,832.71,106.48,726.23,Online
24,323,2024-10-05,31.57,3.05,28.52,Online
25,2283,2024-12-16,583.16,40.49,542.67,In-Store
26,1324,2024-12-25,1013.46,132.8,880.66,Online
27,3036,2024-06-14,292.52,27.96,264.56,Online
28,388,2024-05-06,467.18,50.8,416.38,In-Store
29,927,2024-08-13,1344.35,97.72,1246.63,Online
30,2831,2023-08-25,583.49,35.23,548.26,Online
31,215,2023-08-26,1399.48,184.33,1215.15,Online
32,2595,2024-02-15,520.68,56.89,463.79,Online
33,19,2023-01-23,434.7,22.52,412.18,Online
34,728,2023-09-26,701.16,49.12,652.04,In-Store
35,3866,2023-03-17,184.08,14.78,169.3,In-Store
36,400,2023-11-30,185.34,13.33,172.01,Online
37,3746,2024-10-31,1133.24,111.99,1021.25,Online
38,1583,2023-06-27,639.71,69.8,569.91,Online
39,3723,2024-08-25,564.01,72.42,491.59,Online
40,3400,2023-09-13,400.36,48.45,351.91,Online
41,464,2024-08-01,932.4,64.62,867.78,Online
42,854,2023-01-03,900.51,134.49,766.02,Online
43,378,2023-08-29,103.68,7.84,95.84,Online
44,1525,2023-09-17,1113.16,112.0,1001.16,Online
45,2879,2024-02-13,141.24,11.88,129.36,Online
46,3182,2024-11-06,274.99,32.95,242.04,Online
47,1958,2023-11-16,480.5,39.8,440.7,Online
48,2914,2023-06-17,1252.28,165.44,1086.84,Online
49,807,2023-11-12,220.11,26.29,193.82,Online
50,844,2023-06-30,310.61,34.11,276.5,Online
51,3221,2024-03-15,513.24,58.82,454.42,Online
52,1355,2023-04-28,363.9,33.48,330.42,Online
53,1136,2023-02-18,370.02,27.05,342.97,In-Store
54,2646,2024-04-09,818.84,64.69,754.15,In-Store
55,682,2024-09-16,512.3,66.51,445.79,Online
56,2215,2023-01-03,434.97,64.93,370.04,Online
57,2572,2024-12-10,498.0,48.01,449.99,Online
58,1891,2024-04-03,245.24,17.91,227.33,In-Store
59,1883,2023-05-09,521.73,77.35,444.38,Online
60,2537,2023-11-21,1021.98,143.49,878.49,Online
61,2223,2024-12-22,384.6,51.07,333.53,Online
62,83,2024-02-26,1042.53,100.37,942.16,Online
63,3036,2024-02-04,303.27,44.66,258.61,Online
64,271,2023-01-20,162.0,13.53,148.47,Online
65,3036,2023-05-28,1019.0,56.36,962.64,Online
66,1029,2023-10-24,437.73,42.57,395.16,Online
67,1291,2023-07-19,454.79,59.02,395.77,Online
68,3735,2024-08-17,241.51,33.4,208.11,Online
69,419,2023-12-18,568.5,30.08,538.42,In-Store
70,1117,2024-11-04,195.44,28.58,166.86,Online
71,2978,2023-12-18,1015.14,122.49,892.65,In-Store
72,3253,2024-06-14,15.85,1.79,14.06,Online
73,176,2024-05-30,784.24,65.98,718.26,In-Store
74,1101,2024-01-27,239.48,17.82,221.66,Online
75,2732,2023-01-21,350.68,47.14,303.54,In-Store
76,3269,2024-12-22,1236.63,79.62,1157.01,Online
77,240,2024-06-20,441.75,30.63,411.12,In-Store
78,882,2023-11-08,994.59,116.17,878.42,Online
79,577,2023-08-30,695.13,82.55,612.58,Online
80,2316,2024-01-31,520.79,56.41,464.38,Online
81,1895,2023-06-13,445.46,32.33,413.13,In-Store
82,3945,2024-10-02,484.31,64.9,419.41,In-Store
83,1441,2023-07-01,212.85,31.58,181.27,Online
84,2873,2024-03-22,412.29,36.26,376.03,Online
85,2055,2024-12-11,470.43,64.81,405.62,Online
86,1491,2024-06-27,1157.24,71.6,1085.64,Online
87,3166,2023-10-08,267.53,14.76,252.77,Online
88,2111,2023-08-06,958.74,67.91,890.83,In-Store
89,3791,2023-01-20,462.38,63.96,398.42,Online
90,1845,2024-09-29,132.75,10.66,122.09,In-Store
91,3799,2023-06-19,105.9,14.93,90.97,Online
92,86,2023-12-26,163.82,22.27,141.55,Online
93,1253,2023-10-30,921.83,97.77,824.06,Online
94,214,2024-12-01,583.48,55.6,527.88,Online
95,3878,2023-06-12,953.15,104.96,848.19,Online
96,2576,2023-12-23,875.03,51.67,823.36,Online
97,261,2023-02-02,1203.49,159.19,1044.3,Online
